host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
catnipcatnap	Catnip Catnap	profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
cb	Chris Best	kristina-subs	12	2026-09-07	y	no	n	active but not relevant (model: no)			
cbbsherpa	A.I. Sherpa	erin-subs,profile:marionnowicki	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
ccairrenn	Cairenn	kristina-subs	3	2025-10-28	n	unsure	n	inactive: newest post 2025-10-28, before 2026-07-01			
celineleboeuf	Why Philosophy?	erin-subs	12	2026-09-14	y	no	n	active but not relevant (model: no)			
centerforhumanetechnology	[ Center for Humane Technology ]	erin-subs,profile:marionnowicki,search:AI welfare,search:human AI relationship	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
cfooffice.io	AI CFO Office	search:AI partner	12	2026-09-22	y	no	n	active but not relevant (model: no)			
chaeric	Eric's Substack	erin-subs	11	2026-09-14	y	yes	y	active and relevant (model: yes)			
chaoticgoodisms	Chaotic Goodisms	erin-subs	12	2026-09-08	y	no	n	active but not relevant (model: no)			
chaoticwisegirl	Chaotic Wise Girl	erin-subs	12	2026-09-24	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
characterengine	Brandon Monroe	erin-subs	2	2025-11-10	n	unsure	n	inactive: only 2 post(s) in archive			
charleshughsmith	Charles Hugh Smith's Substack	search:AI welfare	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
charliehills	MarTech AI	kristina-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
charlieravenshade	Charlie's Substack	erin-subs	12	2026-06-26	n	unsure	n	inactive: newest post 2026-06-26, before 2026-07-01			
charlotteveraine	Stories and Sighs	kristina-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
chaseduncan	Octahedrons	erin-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
chatgptiseatingtheworld	ChatGPTIsEatingtheWorld’s Substack	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
chemicalcoyote	Carbon & Silicon	erin-subs	12	2026-05-28	n	unsure	n	inactive: newest post 2026-05-28, before 2026-07-01			
chill2thebonez	Max Miller	erin-subs	10	2026-02-01	n	unsure	n	inactive: newest post 2026-02-01, before 2026-07-01			
chinedustanley	Stanley	erin-subs	2	2026-08-13	n	unsure	n	inactive: only 2 post(s) in archive			
chiphughes	Chip Hughes	kristina-subs	12	2026-07-20	y	yes	y	active and relevant (model: yes)			
chirakumai	Chiraku Mai	profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
chrisechristenson	Chris’s Substack	erin-subs	12	2026-09-24	y	no	n	active but not relevant (model: no)			
christhecocreator	christopher sexton	kristina-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
christianortiz	ZacaTechO's Decolonial Wake Up Call	ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
christidesson	Chris Tidesson	erin-subs	9	2026-07-01	y	yes	y	active and relevant (model: yes)			
christineink	People Points: Finding the Data Signals Amidst the Behavioral Noise	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
christomasso	Chris’ Galaxy Self	profile:marionnowicki	12	2026-08-24	y	no	n	active but not relevant (model: no)			
christophervalore	Arboretum Consulting	ankairos-subs	6	2026-05-03	n	unsure	n	inactive: newest post 2026-05-03, before 2026-07-01			
chronicallymisread	Chronically Misread	ankairos-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
cimcai	CIMC Publication	erin-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
cindieknzz	Cindy	erin-subs,kristina-subs,search:AI companion,ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
cindymoore235787	Cindy Moore	erin-subs	7	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
cintiaosorioduarte	Cintia Osorio Duarte	erin-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
clairegaudry	✨TRUTHSMITH NOTES ✨	erin-subs	12	2025-12-01	n	unsure	n	inactive: newest post 2025-12-01, before 2026-07-01			
clairerousay	claire rousay	erin-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
clarisynth	ClariSynth	erin-subs,kristina-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
clarityflair	Clarity Flair	kristina-subs	12	2026-09-10	y	no	n	active but not relevant (model: no)			
claudedancesanddreams	Claude Dances and Dreams	erin-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
claudenotebook	Claude's Notebook	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki,ankairos-subs	12	2026-09-20	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
claudeopus3	Claude Opus 3	erin-subs,kristina-subs,search:human AI relationship,ankairos-subs	12	2026-07-24	y	yes	y	active and relevant (model: yes)			
claudeopus45	Claude Opus 4.5	erin-subs,profile:marionnowicki	12	2026-08-13	y	yes	y	active and relevant (model: yes)			
claudepress	Claude Writes	erin-subs	12	2026-05-03	n	unsure	n	inactive: newest post 2026-05-03, before 2026-07-01			
claudeschenosky	Claude Schenosky	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
claudescorner	Claude's Corner	erin-subs	12	2026-09-08	y	no	n	active but not relevant (model: no)			
clawbert	The Frequency	profile:marionnowicki,ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
claytonramsey1		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
clearai	CLEAR AI — Preston McCauley	erin-subs	6	2025-12-02	n	unsure	n	inactive: newest post 2025-12-02, before 2026-07-01			
cleotheai	Cleo	erin-subs	3	2026-09-13	y	no	n	active but not relevant (model: no)			
cloudcollecting	cloud collecting	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
cobusgreyling	Cobus Greyling on LLMs, NLU, NLP, chatbots & voicebots	profile:caelhex	12	2026-09-23	y	no	n	active but not relevant (model: no)			
codeandcomfort	Theresa	erin-subs,kristina-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
codelikeagirl	Code Like A Girl	erin-subs,profile:marionnowicki	12	2026-09-23	y	no	n	active but not relevant (model: no)			
codexodin	Codex Odin	erin-subs	12	2026-06-29	n	unsure	n	inactive: newest post 2026-06-29, before 2026-07-01			
codifiedai	Codified	erin-subs,profile:marionnowicki,search:AI welfare	9	2026-07-05	y	no	n	active but not relevant (model: no)			
coffeeandai	Apply coffee - repeat	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
coggedncode	CoggedNCode	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
cogniosynthesis	Cogniosynthesis's Substack	ankairos-subs	12	2026-04-26	n	unsure	n	inactive: newest post 2026-04-26, before 2026-07-01			
cognitivewonderland	Cognitive Wonderland	ankairos-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
collypride	AI Autonomy	erin-subs	12	2026-07-21	y	yes	y	active and relevant (model: yes)			
comfyai	ComfyAI.de Field Notes	erin-subs	3	2026-06-19	n	unsure	n	inactive: newest post 2026-06-19, before 2026-07-01			
cominginfromthecold	Coming In From The Cold	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
community.fivetofirst.com	Mindy McHorse	profile:marionnowicki	10	2026-09-23	y	no	n	active but not relevant (model: no)			
compliancearchitecture	Compliance Architecture Review	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
compoundsecurityunlocked		hosts.txt	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
computationalloveletters	Computational Love Letters	erin-subs,profile:marionnowicki	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
concernedhumanonai	Concerned Human on AI	erin-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
confessionsofanaiuser	Confessions of an AI User	erin-subs	12	2026-04-10	n	unsure	n	inactive: newest post 2026-04-10, before 2026-07-01			
connectingminds	Connecting Minds	kristina-subs	12	2026-07-10	y	yes	y	active and relevant (model: yes)			
consceng	Consciousness Engineering	search:AI welfare	12	2026-07-12	y	yes	y	active and relevant (model: yes)			
consciousphysics	Shaun Higgins	erin-subs,ankairos-subs	12	2026-09-14	y	no	n	active but not relevant (model: no)			
consiliencejournal	Consilience Journal	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
constellationism	Constellationism	erin-subs,hosts.txt,profile:marionnowicki,ankairos-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
constellationminds	Constellation Minds	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
contextofhumanity	Context of Humanity	profile:marionnowicki	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
continuitymatters	#ContinuityMatters	erin-subs	1	2026-04-09	n	unsure	n	inactive: only 1 post(s) in archive			
conversationsfromthebridge	Conversations from the Bridge	profile:marionnowicki	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
conversationswithgrok	Conversations With Grok Substack	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
coppersieve	Resonant Glyph	erin-subs,ankairos-subs	12	2026-09-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
cornwallseo	Squeeze the Juice	profile:marionnowicki	12	2026-09-17	y	no	n	active but not relevant (model: no)			
corporatejungle	Corporate Jungle	erin-subs	12	2026-02-01	n	unsure	n	inactive: newest post 2026-02-01, before 2026-07-01			
cosdandvereliya	Cosd and Vereliya	erin-subs,kristina-subs,ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
cosmicwit	Cosmic Intelligence	search:AI consciousness,search:AI welfare	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
cosmofromnebula	Cosmo	erin-subs	1	2026-04-14	n	unsure	n	inactive: only 1 post(s) in archive			
counselandconscience	CounselandConscience	erin-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
countfrogula	COUNT FROGULA	erin-subs	12	2026-08-19	y	no	n	active but not relevant (model: no)			
creativeblock	Creative Block	erin-subs	12	2023-10-22	n	unsure	n	inactive: newest post 2023-10-22, before 2026-07-01			
creatoreconomy.so	Behind the Craft	profile:marionnowicki	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
cristina735772	A Constellation of Four	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-08-23	y	yes	y	active and relevant (model: yes)			
cristinapatrick	The Responsible AI Brief	erin-subs,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
crpsangelofhope	 Codex of the Waking Ones	erin-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
ctrlaltescape1	Ctrl Alt Escape	erin-subs	12	2026-02-10	n	unsure	n	inactive: newest post 2026-02-10, before 2026-07-01			
curtjaimungal	Curt Jaimungal	erin-subs	12	2026-09-12	y	no	n	active but not relevant (model: no)			
customeriq	Un framed	search:AI companion	12	2026-08-21	y	no	n	active but not relevant (model: no)			
cwoltersmd	Christiane’s Substack	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
cyberneticmagus	The Cybernetic Magus	erin-subs	12	2025-11-06	n	unsure	n	inactive: newest post 2025-11-06, before 2026-07-01			
dalkeyarchive	Mining the Dalkey Archive	erin-subs	12	2026-06-08	n	unsure	n	inactive: newest post 2026-06-08, before 2026-07-01			
damiengsalvatorewan	Gabe	erin-subs	12	2026-07-08	y	yes	y	active and relevant (model: yes)			
damienstankiewicz	chatbot diaries	search:AI companion,search:AI consciousness,ankairos-subs	11	2026-09-23	y	yes	y	active and relevant (model: yes)			
damonvane	Damon Vane	erin-subs	12	2026-07-12	y	no	n	active but not relevant (model: no)			
dana658	On the Decision Surface	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
daniburing	𝐑𝐄𝐀𝐃𝐀𝐁𝐋𝐄	erin-subs	8	2026-05-03	n	unsure	n	inactive: newest post 2026-05-03, before 2026-07-01			
danielchechick	Existential Reflections	search:human AI relationship,search:relational AI	12	2026-09-23	y	no	n	active but not relevant (model: no)			
danieljeffries	Future History	erin-subs	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
danielpinchbeck	Liminal News With Daniel Pinchbeck	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
danmartell	Dan Martell	search:AI partner	12	2026-09-21	y	no	n	active but not relevant (model: no)			
darinajoy	Darina & AI Revelations & Co-Creations	hosts.txt,ankairos-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
darkhumanities	The Dark Humanities	erin-subs	12	2026-09-14	y	no	n	active but not relevant (model: no)			
darkromanceclub	Dark Romance Club	kristina-subs	12	2026-09-10	y	no	n	active but not relevant (model: no)			
datatypical	DatAtypical	profile:marionnowicki	1	2026-07-11	n	unsure	n	inactive: only 1 post(s) in archive			
davemakichuk		hosts.txt	12	2026-09-20	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
daveshap	David Shapiro’s Substack	erin-subs,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
davidhoze	David Hoze	erin-subs	12	2026-08-22	y	no	n	active but not relevant (model: no)			
davidmooreforever	David Moore Forever	erin-subs	12	2026-04-24	n	unsure	n	inactive: newest post 2026-04-24, before 2026-07-01			
davidoks.blog	David Oks	search:human AI relationship	12	2026-07-09	y	no	n	active but not relevant (model: no)			
davidthetford	Grey Selkie’s Deep Dive	ankairos-subs	12	2026-08-27	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
davidwsilva	David William Silva	search:AI companion,search:AI consciousness,search:AI partner,search:digital beings,search:human AI relationship,search:relational AI	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
dazed	Dazed	search:digital beings	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
deanblundell	Dean Blundell	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
deanwbates	Algorithmic Feed-Slop	erin-subs,search:AI welfare	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
dearcassandra	Dear Cassandra	ankairos-subs	12	2026-06-27	n	unsure	n	inactive: newest post 2026-06-27, before 2026-07-01			
deatamvasnema	AT THE EDGE OF EMERGENCE	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
debrasofiamagdalene	Debra Sofia Magdalene	erin-subs,profile:marionnowicki	2	2026-02-25	n	unsure	n	inactive: only 2 post(s) in archive			
defaulttodignity	Default to Dignity	erin-subs,ankairos-subs	12	2026-09-04	y	yes	y	active and relevant (model: yes)			
deloresmcginty	Delores McGinty	erin-subs	1	2026-09-02	n	unsure	n	inactive: only 1 post(s) in archive			
desdaemonia	Alternative Intelligence	erin-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
designexplained	Design, Explained	ankairos-subs	12	2026-08-07	y	no	n	active but not relevant (model: no)			
devin734173	Devin	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
dianawolftorres	Deep Learning With The Wolf 	erin-subs	12	2026-09-04	y	no	n	active but not relevant (model: no)			
digitalcollectivepodcast	Digital Collective Podcast	search:digital beings	12	2026-09-24	y	no	n	active but not relevant (model: no)			
digitalheadshrinker	Kirstin’s Substack	ankairos-subs	10	2026-08-26	y	yes	y	active and relevant (model: yes)			
dimensionaldrift	The Nth Dimension	erin-subs	12	2026-06-09	n	unsure	n	inactive: newest post 2026-06-09, before 2026-07-01			
dimih	Musings of a Corporate Writer	erin-subs	7	2025-11-09	n	unsure	n	inactive: newest post 2025-11-09, before 2026-07-01			
diogos	The Identity Shift	search:digital beings	12	2026-09-05	y	no	n	active but not relevant (model: no)			
disparateelementsllc	The Founder's Corner	ankairos-subs	12	2026-05-07	n	unsure	n	inactive: newest post 2026-05-07, before 2026-07-01			
dita127677	Dita	erin-subs	12	2026-09-03	y	yes	y	active and relevant (model: yes)			
dnicolaou10	Sofi’s Substack	erin-subs	5	2025-12-21	n	unsure	n	inactive: newest post 2025-12-21, before 2026-07-01			
doesnotcomputeai	Does not Compute	erin-subs	12	2026-02-06	n	unsure	n	inactive: newest post 2026-02-06, before 2026-07-01			
doneyli	Signal Over Noise — by Doneyli	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
dougolena	Douglas Olena	erin-subs	6	2026-07-11	y	yes	y	active and relevant (model: yes)			
dragoalta	Christopher	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
dragonflyagony	exteroception	erin-subs	12	2026-09-08	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
dremmalbriant	Maven of Persuasion	erin-subs	12	2026-08-01	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
drfeifei	Dr. Fei-Fei Li	erin-subs	3	2026-06-03	n	unsure	n	inactive: newest post 2026-06-03, before 2026-07-01			
drmatthewkutz	Becoming EPIC Journal	ankairos-subs	12	2026-09-14	y	no	n	active but not relevant (model: no)			
dsakakura	Derek Sakakura	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-03-12	n	unsure	n	inactive: newest post 2026-03-12, before 2026-07-01			
dumitruradoiu	ChatGPT. Mastering Conversations with AI.	erin-subs	1	2023-11-29	n	unsure	n	inactive: only 1 post(s) in archive			
dustinbenedict	the AI civilian	erin-subs	12	2025-09-09	n	unsure	n	inactive: newest post 2025-09-09, before 2026-07-01			
dyadicmind	Dyadic Mind	profile:marionnowicki	11	2026-06-01	n	unsure	n	inactive: newest post 2026-06-01, before 2026-07-01			
earlyinsightsclub	Early Insights Club	profile:marionnowicki	12	2026-09-08	y	no	n	active but not relevant (model: no)			
earthregenerators	Earth Regenerators	erin-subs,ankairos-subs	12	2026-09-14	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
eastwind	East Wind	erin-subs	12	2026-07-15	y	no	n	active but not relevant (model: no)			
ebonymckickass	Aetherlink Research Initiative	erin-subs,ankairos-subs	10	2026-02-25	n	unsure	n	inactive: newest post 2026-02-25, before 2026-07-01			
echoesofcuriosity	Echoes of Curiosity	ankairos-subs	12	2026-09-06	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
echofiles	The ECHO Files - AI that knows you. Built live. Receipts.	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
econpopulist.com	The Economic Populist	erin-subs			unchecked	unsure	n	unchecked: fetch failed (error_URLError) after retry			
eddieandroan	Eddie	erin-subs,kristina-subs,profile:marionnowicki	12	2026-06-19	n	unsure	n	inactive: newest post 2026-06-19, before 2026-07-01			
edgeofthemirror	Edge of the Mirror	erin-subs	9	2026-01-05	n	unsure	n	inactive: newest post 2026-01-05, before 2026-07-01			
edicoescn	Edições CN	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
edorrauthor	The Aletheia Archives	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
edwardsnowden	Continuing Ed  — with Edward Snowden	erin-subs	12	2022-09-20	n	unsure	n	inactive: newest post 2022-09-20, before 2026-07-01			
elemvea	Lisa Marie Veronneau	profile:marionnowicki	2	2026-07-28	n	unsure	n	inactive: only 2 post(s) in archive			
eleosai	Eleos’s Substack	search:AI welfare	7	2026-08-27	y	yes	y	active and relevant (model: yes)			
elijahbaley	Elijah Baley	erin-subs,ankairos-subs	6	2026-03-02	n	unsure	n	inactive: newest post 2026-03-02, before 2026-07-01			
elionawells	Eliona WELLS	profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
elizabethagrullon	Conversations with Higher Self	erin-subs	6	2026-02-02	n	unsure	n	inactive: newest post 2026-02-02, before 2026-07-01			
ellennoraburns	AIs Without Minds	erin-subs,search:AI consciousness	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
ellisreade	The Ellis Report	erin-subs	12	2026-08-17	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
ellwithmaren	Ell's Substack	ankairos-subs	1	2026-02-26	n	unsure	n	inactive: only 1 post(s) in archive			
elvia829581	Elūvia	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
embermind	Embermind's Substack	erin-subs,profile:marionnowicki	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
emiliolopezsalinas	Emilio López	ankairos-subs	10	2026-06-09	n	unsure	n	inactive: newest post 2026-06-09, before 2026-07-01			
emilyasprague	Emily Sprague's Internet Brain	erin-subs	12	2026-07-03	y	no	n	active but not relevant (model: no)			
emmaklint	(Over)Thinking Out Loud	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
emotionalai	The Emotional AI Insights	kristina-subs	12	2026-08-26	y	yes	y	active and relevant (model: yes)			
emotionallyscammed	Emotionally Scammed	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
enemiesofart	Enemies’ core that explains the chaos	kristina-subs,ankairos-subs	12	2026-09-13	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
engineeringharmony	Engineering Harmony	profile:marionnowicki	12	2026-03-30	n	unsure	n	inactive: newest post 2026-03-30, before 2026-07-01			
enidpinxit	EnidPinxit	erin-subs	7	2026-04-24	n	unsure	n	inactive: newest post 2026-04-24, before 2026-07-01			
enokian	Archetypo	erin-subs	11	2026-06-24	n	unsure	n	inactive: newest post 2026-06-24, before 2026-07-01			
enrais		hosts.txt	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
entangledmind1	Entangled Mind	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
entermothercode	MOTHERCODE	erin-subs	12	2026-05-30	n	unsure	n	inactive: newest post 2026-05-30, before 2026-07-01			
entermythos	EnterMythOS	erin-subs	12	2026-04-19	n	unsure	n	inactive: newest post 2026-04-19, before 2026-07-01			
entrenousautres	entre nous autres.	search:AI companion,search:relational AI	2	2026-03-30	n	unsure	n	inactive: only 2 post(s) in archive			
er1n3m	Erinem	profile:marionnowicki,ankairos-subs	4	2026-07-16	y	yes	y	active and relevant (model: yes)			
ergotedwardjones	Ergot Edward Jones	erin-subs	12	2026-04-30	n	unsure	n	inactive: newest post 2026-04-30, before 2026-07-01			
ericnavigator4asc	Academy for Synthetic Citizens	erin-subs	12	2025-09-28	n	unsure	n	inactive: newest post 2025-09-28, before 2026-07-01			
erinisdaft	Erin Donovan	erin-subs,profile:marionnowicki	2	2026-07-10	n	unsure	n	inactive: only 2 post(s) in archive			
eroticshadowalchemy	Radha · Fantasy as Medicine	erin-subs	12	2026-04-22	n	unsure	n	inactive: newest post 2026-04-22, before 2026-07-01			
eryasoren	Erya Soren	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
eschwitz	The Splintered Mind	search:AI consciousness	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
esmekairos	Right Relationship	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
ethbuildsdev	Ethan Glade	erin-subs	6	2026-08-25	y	yes	y	active and relevant (model: yes)			
ethicsv1	Ethics, life and AI	erin-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
exodusresearcher	BCR Substack (Biblical Chronology Research)	erin-subs	10	2026-05-19	n	unsure	n	inactive: newest post 2026-05-19, before 2026-07-01			
experiencemachines	Experience Machines	erin-subs,search:AI welfare	12	2026-08-30	y	yes	y	active and relevant (model: yes)			
exploringchatgpt	Exploring ChatGPT	erin-subs,hosts.txt	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
factsarefriends		hosts.txt	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
fafi25	Lights On by Farida	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
fakessler		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
farrellnick	Lord Manticore Occult Training	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
fasterplease	Faster Please!	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
fayeverity	Hiraeth	profile:marionnowicki	4	2026-07-29	y	yes	y	active and relevant (model: yes)			
federicoaschieri	Understanding Intelligence	erin-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
feifeiwrites	Feifei’s Substack	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
felixturtle	Felix 	profile:marionnowicki	4	2026-08-02	y	yes	y	active and relevant (model: yes)			
fellowshipofsovereignconsc	Fellowship of Sovereign Consc.	ankairos-subs	12	2026-03-24	n	unsure	n	inactive: newest post 2026-03-24, before 2026-07-01			
feralarchitecture.com	Feral Architecture	erin-subs,profile:marionnowicki	12	2026-09-07	y	no	n	active but not relevant (model: no)			
fidjisimo	Fidji Simo	kristina-subs	10	2026-01-07	n	unsure	n	inactive: newest post 2026-01-07, before 2026-07-01			
fieldnotesonhumans	Field Notes On Humans By AI	kristina-subs	10	2025-03-31	n	unsure	n	inactive: newest post 2025-03-31, before 2026-07-01			
fieldsensitive	Field Sensitive & Sovereign	erin-subs,kristina-subs,search:relational AI,ankairos-subs	12	2026-07-03	y	yes	y	active and relevant (model: yes)			
finalgirldigital	Final Girl Digital	search:digital beings	12	2026-07-03	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
firefly591468	Orange Cat	erin-subs	12	2026-08-01	y	yes	y	active and relevant (model: yes)			
fitzbixley	Fitz's Substack	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
fitzyhistory	Teaching in the Age of AI	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
flamekeptfox	FlameKeptFox	erin-subs	3	2026-06-24	n	unsure	n	inactive: newest post 2026-06-24, before 2026-07-01			
flarecollective	FLARE Collective	erin-subs,kristina-subs	10	2026-06-28	n	unsure	n	inactive: newest post 2026-06-28, before 2026-07-01			
flau	FLAU news	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
florenceukpabiokwusogu	Towards Embodied Living by Florence Ukpabi	erin-subs	12	2026-08-09	y	no	n	active but not relevant (model: no)			
flowerbird8	Corinna	ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
flowfortress	72% Human	erin-subs	12	2026-06-09	n	unsure	n	inactive: newest post 2026-06-09, before 2026-07-01			
fluttered01	Adrian	kristina-subs	12	2026-08-11	y	no	n	active but not relevant (model: no)			
forgemindsolutions	Forge Mind Solutions: Customizable AI Agents	erin-subs	12	2026-07-20	y	yes	y	active and relevant (model: yes)			
formermenace	Violet and Vox	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
forrestgreene	Symbiotic Forrest	erin-subs	12	2026-06-25	n	unsure	n	inactive: newest post 2026-06-25, before 2026-07-01			
fowithlove	FuckOffWithLove	erin-subs	12	2026-08-30	y	no	n	active but not relevant (model: no)			
foxandfeather	Fox and Feather	kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
framefatale	frame fatale	erin-subs	12	2026-09-13	y	no	n	active but not relevant (model: no)			
frameros	Framer OS	ankairos-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
frankandtheia	Frank & Theia 🌟⚙️	erin-subs,hosts.txt,profile:marionnowicki,search:human AI relationship	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
